Mentee,Mentor,total,gender,year,school,major,study style,academic interests,personality traits,extroversion,research,work experience,hours,mentorship style,Social & Hobby,Public Service,Media Group,Cultural & Ethnic,Visual & Performing Arts,Honor Society,Academic & Professional,A Cappella,Peer Mentors,Debate,Choir,activity matches
npw9hv,bmu9dt,-13.5,1.5,-20,0,0,0,2,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kks9hk,bmu9dt,-16.0,0.0,-20,0,0,0,0,1.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ybu6vk,yez9pj,-64.0,0.0,-100,0,6,0,2,4.0,2.0,4,0,0,6,0,0,0,0,0,0,2,0,0,0,0,10
ajt8mm,gvz4gy,-77.0,0.0,-100,2,0,0,2,2.0,2.0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,10
ajt8mm,kwc3am,-78.5,2.5,-100,2,0,0,0,6.0,4.0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ajt8mm,yez9pj,-78.5,2.5,-100,0,0,3,0,2.0,2.0,4,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0
ybu6vk,gvz4gy,-79.0,3.0,-100,2,0,3,4,4.0,2.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ybu6vk,kwc3am,-80.0,0.0,-100,2,0,3,2,2.0,4.0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ybu6vk,bmu9dt,-87.0,3.0,-100,0,0,0,2,2.0,0.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ajt8mm,bmu9dt,-88.0,0.0,-100,0,0,0,2,4.0,0.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ajt8mm,aby4fu,-88.0,0.0,-100,0,0,3,0,2.0,4.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ybu6vk,aby4fu,-90.0,3.0,-100,0,0,0,2,2.0,4.0,0,0,-4,3,0,0,0,0,0,0,0,0,0,0,0,0
